INCIDENT_NUMBER,OFFENSE_CODE,OFFENSE_CODE_GROUP,OFFENSE_DESCRIPTION,DISTRICT,REPORTING_AREA,SHOOTING,OCCURRED_ON_DATE,YEAR,MONTH,DAY_OF_WEEK,HOUR,UCR_PART,STREET,Lat,Long,Location
222023794,3831,,M/V - LEAVING SCENE - PROPERTY DAMAGE,A1,77,0,4/5/2022 13:25,2022,4,Tuesday,13,,SUDBURY ST,42.30468252,-70.95372636,"(42.35024510706628, -70.95372636457485)"
222020550,3116,,HARBOR INCIDENT / VIOLATION,A7, ,0,3/24/2022 13:06,2022,3,Thursday,13,,DEER ISLAND RD,42.35024511,-70.95372636,"(42.35024510706628, -70.95372636457485)"
222021456,3801,,M/V ACCIDENT - OTHER,A7, ,0,3/27/2022 18:53,2022,3,Sunday,18,,SARATOGA ST,42.38371689,-70.99858511,"(42.383716890524894, -70.9985851050085)"
222019393,3410,,TOWED MOTOR VEHICLE,A7, ,0,3/20/2022 7:08,2022,3,Sunday,7,,SAINT ANDREW RD,42.38381353,-71.00077361,"(42.38381352943888, -71.0007736098981)"
222012815,3007,,SUDDEN DEATH,A7, ,0,2/22/2022 9:14,2022,2,Tuesday,9,,ORIENT AVE,42.39006029,-71.00090933,"(42.39006029062413, -71.0009093306382)"
220145467,3115,,INVESTIGATE PERSON,A7,2,0,4/5/2022 11:10,2022,4,Tuesday,11,,WALDEMAR AVE,42.39146297,-71.00134187,"(42.39146297220969, -71.00134187377799)"
222006742,3410,,TOWED MOTOR VEHICLE,A7, ,0,1/29/2022 12:00,2022,1,Saturday,12,,WALDEMAR AVE,42.39146297,-71.00134187,"(42.39146297220969, -71.00134187377799)"
222024590,3110,,SERVICE TO OTHER AGENCY,A7, ,0,4/8/2022 11:56,2022,4,Friday,11,,BENNINGTON ST,42.38780792,-71.00289977,"(42.387807923273975, -71.00289977103427)"
222018697,3301,,VERBAL DISPUTE,A7, ,0,3/17/2022 16:26,2022,3,Thursday,16,,BEACHVIEW RD,42.39109683,-71.00393957,"(42.39109683419475, -71.00393957070358)"
222017720,3115,,INVESTIGATE PERSON,A7, ,0,3/14/2022 1:49,2022,3,Monday,1,,SARATOGA ST,42.38572713,-71.00415466,"(42.38572712938618, -71.00415466194367)"
222014885,1402,,VANDALISM,A7, ,0,3/2/2022 18:53,2022,3,Wednesday,18,,BENNINGTON ST,42.38737815,-71.00471909,"(42.38737815470638, -71.00471909221612)"
222011818,1831,,SICK ASSIST,A7, ,0,2/18/2022 10:31,2022,2,Friday,10,,ORIENT AVE,42.39035323,-71.0051911,"(42.390353231411225, -71.0051911031885)"
222013591,3115,,INVESTIGATE PERSON,A7,6,0,2/24/2022 16:00,2022,2,Thursday,16,,BARNES AVE,42.38608347,-71.005499,"(42.38608347378387, -71.00549899741587)"
222020725,3802,,M/V ACCIDENT - PROPERTY DAMAGE,A7,7,0,3/25/2022 2:19,2022,3,Friday,2,,"ANTRIM ST & BENNINGTON ST
EAST BOSTON  MA 02128
UN",42.38696695,-71.00575001,"(42.38696695334931, -71.00575000918249)"
222017003,1831,,SICK ASSIST,A7, ,0,3/10/2022 22:04,2022,3,Thursday,22,,THURSTON ST,42.38464159,-71.00575163,"(42.3846415883986, -71.0057516311612)"
222008687,2914,,VAL - OPERATING W/O AUTHORIZATION LAWFUL,A7, ,0,2/6/2022 2:00,2022,2,Sunday,2,,FAYWOOD AVE,42.39213904,-71.00581071,"(42.3921390421385, -71.00581070996117)"
222004058,3201,,PROPERTY - LOST/ MISSING,A7,6,0,1/10/2022 19:00,2022,1,Monday,19,,BARNES AVE,42.38590153,-71.0060406,"(42.385901532468765, -71.00604060013916)"
222024231,3301,,VERBAL DISPUTE,A7, ,0,4/7/2022 1:33,2022,4,Thursday,1,,BENNINGTON ST,42.386761,-71.0066065,"(42.38676100049744, -71.00660649967844)"
222022051,3114,,INVESTIGATE PROPERTY,A7,10,0,3/27/2022 14:33,2022,3,Sunday,14,,ASHLEY ST,42.3882309,-71.00711879,"(42.38823089831752, -71.00711879286892)"
222004339,2647,,THREATS TO DO BODILY HARM,A7, ,0,1/20/2022 14:11,2022,1,Thursday,14,,SARATOGA ST,42.38685489,-71.00738288,"(42.38685488520997, -71.00738288270642)"
